id,code,name,description
Continue_100,100,Continue,
Switching_Protocols_101,101,Switching Protocols,
Processing_102,102,Processing,
OK_200,200,OK,
Created_201,201,Created,
Accepted_202,202,Accepted,
Non-Authoritative_Information_203,203,Non-Authoritative Information,
No_Content_204,204,No Content,
Reset_Content_205,205,Reset Content,
Partial_Content_206,206,Partial Content,
Multi-Status_207,207,Multi-Status,
Already_Reported_208,208,Already Reported,
IM_Used_226,226,IM Used,
Multiple_Choices_300,300,Multiple Choices,
Moved_Permanently_301,301,Moved Permanently,
Found_302,302,Found,
See_Other_303,303,See Other,
Not_Modified_304,304,Not Modified,
Use_Proxy_305,305,Use Proxy,
Reserved_306,306,Reserved,
Temporary_Redirect_307,307,Temporary Redirect,
Permanent_Redirect_308,308,Permanent Redirect,
Bad_Request_400,400,Bad Request,
Unauthorized_401,401,Unauthorized,
Payment_Required_402,402,Payment Required,
Forbidden_403,403,Forbidden,
Not_Found_404,404,Not Found,
Method_Not_Allowed_405,405,Method Not Allowed,
Not_Acceptable_406,406,Not Acceptable,
Proxy_Authentication_Required_407,407,Proxy Authentication Required,
Request_Timeout_408,408,Request Timeout,
Conflict_409,409,Conflict,
Gone_410,410,Gone,
Length_Required_411,411,Length Required,
Precondition_Failed_412,412,Precondition Failed,
Request_Entity_Too_Large_413,413,Request Entity Too Large,
Request-URI_Too_Long_414,414,Request-URI Too Long,
Unsupported_Media_Type_415,415,Unsupported Media Type,
Requested_Range_Not_Satisfiable_416,416,Requested Range Not Satisfiable,
Expectation_Failed_417,417,Expectation Failed,
Unprocessable_Entity_422,422,Unprocessable Entity,
Locked_423,423,Locked,
Failed_Dependency_424,424,Failed Dependency,
Upgrade_Required_426,426,Upgrade Required,
Precondition_Required_428,428,Precondition Required,
Too_Many_Requests_429,429,Too Many Requests,
Request_Header_Fields_Too_Large_431,431,Request Header Fields Too Large,
Internal_Server_Error_500,500,Internal Server Error,
Not_Implemented_501,501,Not Implemented,
Bad_Gateway_502,502,Bad Gateway,
Service_Unavailable_503,503,Service Unavailable,
Gateway_Timeout_504,504,Gateway Timeout,
HTTP_Version_Not_Supported_505,505,HTTP Version Not Supported,
Variant_Also_Negotiates_(Experimental)_506,506,Variant Also Negotiates (Experimental),
Insufficient_Storage_507,507,Insufficient Storage,
Loop_Detected_508,508,Loop Detected,
Not_Extended_510,510,Not Extended,
Network_Authentication_Required_511,511,Network Authentication Required,
